"decile","2020-01-03","2020-01-10","2020-01-17","2020-01-24","2020-01-31","2020-02-07","2020-02-14","2020-02-21","2020-02-28","2020-03-06","2020-03-13","2020-03-20","2020-03-27","2020-04-03","2020-04-10","2020-04-17","2020-04-24","2020-05-01","2020-05-08","2020-05-15","2020-05-22","2020-05-29","2020-06-05","2020-06-12","2020-06-19","2020-06-26","2020-07-03","2020-07-10","2020-07-17","2020-07-24","2020-07-31","2020-08-07","2020-08-14","2020-08-21","2020-08-28","2020-09-04","2020-09-11","2020-09-18","2020-09-25","2020-10-02","2020-10-09","2020-10-16","2020-10-23","2020-10-30","2020-11-06","2020-11-13","2020-11-20","2020-11-27","2020-12-04","2020-12-11","2020-12-18","2020-12-25","2021-01-01","2021-01-08","2021-01-15","2021-01-22","2021-01-29","2021-02-05","2021-02-12","2021-02-19","2021-02-26","2021-03-05","2021-03-12","2021-03-19","2021-03-26","2021-04-02","2021-04-09","2021-04-16","2021-04-23","2021-04-30","2021-05-07","2021-05-14","2021-05-21","2021-05-28","2021-06-04","2021-06-11","2021-06-18","2021-06-25","2021-07-02","2021-07-09","2021-07-16","2021-07-23","2021-07-30","2021-08-06","2021-08-13","2021-08-20","2021-08-27","2021-09-03","2021-09-10","2021-09-17","2021-09-24","2021-10-01","2021-10-08","2021-10-15","2021-10-22","2021-10-29","2021-11-05","2021-11-12","2021-11-19","2021-11-26","2021-12-03","2021-12-10","2021-12-17","2021-12-24","2021-12-31","2022-01-07","2022-01-14","2022-01-21","2022-01-28","2022-02-04","2022-02-11"
"1 - Most deprived",0,0,0,0,0,0,0,0,0,0,1,14,77,397,787,1012,785,530,377,307,213,152,118,93,74,53,46,33,15,22,20,13,16,17,13,7,12,23,42,50,93,123,160,224,313,366,374,365,345,345,282,274,333,543,718,805,804,698,607,436,342,239,162,110,74,50,41,37,28,26,16,16,9,14,20,13,11,20,23,34,56,65,62,80,76,81,92,78,130,140,114,90,65,78,79,88,81,111,108,77,83,80,80,85,85,96,161,170,155,124,96
"2",0,0,0,0,0,0,0,0,0,0,1,11,60,398,720,983,839,630,386,425,264,171,172,126,92,65,65,47,26,23,22,20,14,19,16,14,26,31,40,62,86,95,166,234,301,382,418,429,354,308,323,279,297,553,590,691,739,680,554,446,313,204,148,106,79,35,43,55,37,33,16,25,15,11,14,11,17,18,22,34,34,44,72,84,79,61,115,89,96,94,104,78,75,85,95,78,102,106,96,107,76,73,86,113,62,103,138,153,168,124,101
"3",0,0,0,0,0,0,0,0,0,0,0,15,68,382,659,894,770,524,349,326,262,163,178,105,65,48,37,25,20,17,17,9,15,6,3,8,7,14,17,21,31,59,118,112,169,252,266,309,260,257,285,295,269,499,606,722,695,594,432,349,217,205,134,83,85,43,34,30,22,15,11,13,11,14,8,12,12,7,9,13,24,37,67,55,68,68,87,67,91,79,89,83,68,77,74,95,83,104,84,77,81,72,74,72,66,90,135,132,160,137,91
"4",0,0,0,0,0,0,0,0,0,0,0,5,51,262,517,830,733,537,343,337,208,147,144,99,67,45,37,19,35,22,15,15,17,14,9,6,9,13,27,36,41,85,120,138,209,242,258,320,274,240,224,204,164,326,446,578,645,573,518,375,267,157,146,100,69,39,36,27,20,18,13,14,9,8,10,11,12,6,10,17,16,44,38,68,52,68,71,75,93,91,84,92,67,77,92,97,116,106,99,73,70,53,73,63,47,85,123,118,134,111,117
"5",0,0,0,0,0,0,0,0,0,0,1,7,55,343,563,863,857,621,427,410,306,212,154,117,74,79,70,48,43,26,20,20,19,12,16,10,12,9,15,25,35,72,94,152,257,279,265,337,334,343,334,346,366,778,829,919,965,813,572,408,271,220,147,117,90,40,47,43,38,21,15,19,16,12,15,6,16,13,10,20,22,32,45,58,64,72,58,70,70,90,92,87,63,64,92,83,105,111,101,72,87,103,77,90,58,98,166,189,149,156,128
"6",0,0,0,0,0,0,0,0,0,0,0,6,48,365,513,766,727,561,355,356,240,164,135,93,63,52,49,37,27,22,22,22,11,16,12,9,8,10,15,37,32,57,59,102,119,161,205,222,233,225,249,257,321,664,758,847,745,723,517,362,283,206,131,76,72,39,37,40,24,22,12,12,12,13,6,5,6,7,9,18,18,12,22,38,45,52,59,51,72,65,65,72,53,45,71,75,88,95,94,73,78,81,71,92,40,100,109,116,96,110,101
"7",0,0,0,0,0,0,0,0,0,0,1,13,44,325,543,697,705,486,322,331,204,149,136,90,80,57,46,31,26,20,23,6,9,8,9,5,6,6,13,18,28,43,50,92,133,186,191,257,206,238,318,253,286,659,756,922,919,729,626,373,261,201,128,75,52,26,30,42,22,15,8,6,5,3,6,8,3,6,6,11,11,18,20,29,43,40,42,64,64,57,73,56,60,52,61,79,91,74,89,71,77,53,67,82,61,94,142,130,126,100,94
"8",0,0,0,0,0,0,0,0,0,0,0,11,47,363,618,895,879,685,418,393,256,199,162,118,84,72,63,40,34,21,15,9,8,7,6,4,5,12,14,21,27,35,67,98,118,167,227,234,256,233,268,265,277,565,751,823,816,708,563,402,276,183,155,79,59,37,31,27,17,20,10,17,4,5,5,5,12,8,8,11,10,21,28,42,59,53,42,57,65,53,67,73,52,82,60,68,75,81,69,69,67,65,59,68,61,70,131,136,129,91,82
"9",0,0,0,0,0,0,0,0,0,0,0,7,26,228,474,673,722,546,373,360,273,187,163,135,81,58,44,26,35,17,12,8,11,16,7,7,6,9,9,11,12,28,42,57,72,115,145,203,218,209,266,269,296,531,681,789,868,735,532,351,259,192,135,80,50,31,29,27,12,17,12,19,8,6,5,7,4,5,4,9,12,17,18,25,35,27,53,40,57,59,65,43,34,38,41,60,69,89,67,66,60,72,58,67,43,59,103,126,101,115,116
"10 - least deprived",0,0,0,0,0,0,0,0,0,0,1,14,49,268,505,722,789,628,366,379,229,171,126,81,64,45,40,38,23,19,17,6,5,11,6,4,6,7,11,15,16,25,37,49,80,124,122,144,143,132,180,189,222,479,632,860,867,737,543,389,283,187,142,86,57,45,32,18,24,11,11,4,11,6,7,5,9,7,5,9,10,18,17,23,29,29,30,41,48,55,46,41,45,42,43,54,82,66,58,53,50,56,57,65,34,62,100,108,105,94,99
